Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,7,0.693,0.8714,0.7011,0.7771,0.7088
RobustScaler,3,0.6754,0.8472,0.7011,0.7673,0.6754
NoScaler,5,0.6754,0.8571,0.6897,0.7643,0.7026
NoScaler,9,0.6667,0.8657,0.6667,0.7532,0.7261
RobustScaler,5,0.6667,0.8889,0.6437,0.7467,0.7203
RobustScaler,9,0.6579,0.875,0.6437,0.7417,0.7214
RobustScaler,7,0.6579,0.8871,0.6322,0.7383,0.7226
NoScaler,3,0.6404,0.8194,0.6782,0.7421,0.6635
MinMaxScaler,5,0.6053,0.8621,0.5747,0.6897,0.6552
MinMaxScaler,7,0.6053,0.85,0.5862,0.6939,0.6811
MinMaxScaler,9,0.5789,0.8421,0.5517,0.6667,0.6624
StandardScaler,9,0.5789,0.8305,0.5632,0.6712,0.6699
StandardScaler,5,0.5789,0.8197,0.5747,0.6757,0.6311
StandardScaler,7,0.5702,0.8065,0.5747,0.6711,0.6611
StandardScaler,3,0.5702,0.8065,0.5747,0.6711,0.6094
MinMaxScaler,3,0.5526,0.8,0.5517,0.6531,0.6022
Normalizer,5,0.5439,0.7778,0.5632,0.6533,0.5321
Normalizer,9,0.5439,0.7966,0.5402,0.6438,0.5645
Normalizer,3,0.5351,0.7931,0.5287,0.6345,0.503
Normalizer,7,0.5088,0.7627,0.5172,0.6164,0.5528
