Dataset,Task,K,Weights,Metric,P,Best_CV_Acc,Test_Accuracy,Test_F1_Weighted,Test_F1_Macro,Test_Precision_Weighted,Test_Recall_Weighted,Train_Time_s,Test_Time_s,Scaler,Timestamp
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7838,0.5385,0.5551,0.4872,0.5817,0.5385,0.0003,0.0137,,20251121_203324
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7748,0.547,0.5625,0.4936,0.5864,0.547,0.0003,0.0128,,20251121_203324
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7718,0.5556,0.575,0.522,0.6189,0.5556,0.0003,0.0132,,20251121_203324
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7147,0.5214,0.5424,0.4852,0.5859,0.5214,0.0003,0.012,,20251121_203324
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7717,0.6068,0.6249,0.5847,0.684,0.6068,0.0003,0.0138,StandardScaler,20251121_203324
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7628,0.6325,0.6485,0.6214,0.742,0.6325,0.0004,0.0125,StandardScaler,20251121_203324
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7492,0.5897,0.608,0.5761,0.6929,0.5897,0.0005,0.0142,StandardScaler,20251121_203324
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7253,0.5812,0.5995,0.5686,0.6887,0.5812,0.0004,0.0137,StandardScaler,20251121_203325
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7643,0.6154,0.6327,0.6013,0.7145,0.6154,0.0004,0.0126,MinMaxScaler,20251121_203325
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7388,0.6154,0.6322,0.6038,0.7242,0.6154,0.0004,0.0117,MinMaxScaler,20251121_203325
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7372,0.5556,0.5753,0.5408,0.6577,0.5556,0.0004,0.0118,MinMaxScaler,20251121_203325
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7087,0.547,0.5668,0.5334,0.6532,0.547,0.0004,0.0201,MinMaxScaler,20251121_203325
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.8228,0.6667,0.6815,0.6432,0.7301,0.6667,0.0003,0.0136,RobustScaler,20251121_203325
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7958,0.6496,0.6657,0.6314,0.7304,0.6496,0.0003,0.012,RobustScaler,20251121_203325
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7913,0.5983,0.6151,0.5886,0.7165,0.5983,0.0004,0.0116,RobustScaler,20251121_203325
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7432,0.6239,0.6406,0.6114,0.7281,0.6239,0.0004,0.0134,RobustScaler,20251121_203325
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7553,0.5556,0.5698,0.5,0.5912,0.5556,0.0003,0.0128,Normalizer,20251121_203325
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7553,0.5128,0.5345,0.4785,0.581,0.5128,0.0004,0.0129,Normalizer,20251121_203325
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7402,0.5641,0.5835,0.5334,0.6307,0.5641,0.0004,0.0137,Normalizer,20251121_203326
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.6561,0.5043,0.5255,0.4908,0.6128,0.5043,0.0004,0.0136,Normalizer,20251121_203326
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7748,0.6154,0.633,0.5985,0.7053,0.6154,0.0004,0.0118,MaxAbsScaler,20251121_203326
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7583,0.6068,0.6247,0.591,0.7012,0.6068,0.0004,0.0115,MaxAbsScaler,20251121_203326
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7357,0.5812,0.5977,0.5732,0.7087,0.5812,0.0003,0.014,MaxAbsScaler,20251121_203326
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7042,0.5299,0.5495,0.5185,0.644,0.5299,0.0004,0.0128,MaxAbsScaler,20251121_203326
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7928,0.6838,0.6982,0.6645,0.7552,0.6838,0.0004,0.0137,QuantileTransformer,20251121_203326
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7898,0.7009,0.7145,0.6827,0.772,0.7009,0.0005,0.0139,QuantileTransformer,20251121_203326
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7838,0.6239,0.64,0.6137,0.7383,0.6239,0.0004,0.0139,QuantileTransformer,20251121_203326
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7312,0.5983,0.6098,0.5953,0.7643,0.5983,0.0003,0.0133,QuantileTransformer,20251121_203326
