Fold,Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
1,NoScaler,3,0.599,0.5987,0.599,0.5988,0.7496
1,NoScaler,5,0.6122,0.612,0.6122,0.6121,0.7688
1,NoScaler,7,0.6264,0.6269,0.6264,0.6265,0.7771
1,NoScaler,9,0.6226,0.6223,0.6226,0.6224,0.7754
1,NoScaler,11,0.6171,0.6169,0.6171,0.6169,0.7752
1,StandardScaler,3,0.5974,0.5967,0.5974,0.5968,0.7439
1,StandardScaler,5,0.6078,0.6077,0.6078,0.6077,0.7661
1,StandardScaler,7,0.6259,0.6267,0.6259,0.6262,0.7759
1,StandardScaler,9,0.616,0.6161,0.616,0.6159,0.7771
1,StandardScaler,11,0.61,0.6095,0.61,0.6095,0.7786
1,MinMaxScaler,3,0.5952,0.5945,0.5952,0.5946,0.7441
1,MinMaxScaler,5,0.6094,0.6095,0.6094,0.6094,0.7671
1,MinMaxScaler,7,0.627,0.628,0.627,0.6273,0.7768
1,MinMaxScaler,9,0.6149,0.6151,0.6149,0.6147,0.7765
1,MinMaxScaler,11,0.61,0.6096,0.61,0.6096,0.7779
1,RobustScaler,3,0.5968,0.5962,0.5968,0.5962,0.7445
1,RobustScaler,5,0.6094,0.6095,0.6094,0.6094,0.7668
1,RobustScaler,7,0.627,0.6278,0.627,0.6273,0.7763
1,RobustScaler,9,0.6166,0.6166,0.6166,0.6164,0.7771
1,RobustScaler,11,0.6094,0.609,0.6094,0.609,0.778
1,Normalizer,3,0.5409,0.5398,0.5409,0.5402,0.7028
1,Normalizer,5,0.5579,0.5576,0.5579,0.5577,0.7221
1,Normalizer,7,0.5601,0.5599,0.5601,0.56,0.7287
1,Normalizer,9,0.5573,0.5571,0.5573,0.5572,0.7313
1,Normalizer,11,0.5573,0.5571,0.5573,0.5571,0.7315
2,NoScaler,3,0.5941,0.5942,0.5941,0.5941,0.7482
2,NoScaler,5,0.6193,0.6196,0.6193,0.6194,0.7662
2,NoScaler,7,0.6188,0.619,0.6188,0.6188,0.7748
2,NoScaler,9,0.6127,0.6133,0.6127,0.6127,0.7723
2,NoScaler,11,0.61,0.6111,0.61,0.61,0.7724
2,StandardScaler,3,0.599,0.5994,0.599,0.5992,0.7537
2,StandardScaler,5,0.6204,0.6206,0.6204,0.6205,0.7672
2,StandardScaler,7,0.6144,0.6151,0.6144,0.6146,0.7733
2,StandardScaler,9,0.6177,0.6179,0.6177,0.6177,0.7727
2,StandardScaler,11,0.6127,0.613,0.6127,0.6125,0.7718
2,MinMaxScaler,3,0.5979,0.5983,0.5979,0.598,0.7527
2,MinMaxScaler,5,0.6199,0.6201,0.6199,0.62,0.7675
2,MinMaxScaler,7,0.6144,0.6152,0.6144,0.6146,0.7736
2,MinMaxScaler,9,0.6182,0.6186,0.6182,0.6182,0.773
2,MinMaxScaler,11,0.6133,0.6137,0.6133,0.6131,0.772
2,RobustScaler,3,0.5996,0.6001,0.5996,0.5998,0.7536
2,RobustScaler,5,0.6193,0.6194,0.6193,0.6194,0.7673
2,RobustScaler,7,0.6155,0.6163,0.6155,0.6157,0.7733
2,RobustScaler,9,0.6182,0.6185,0.6182,0.6182,0.7728
2,RobustScaler,11,0.6127,0.613,0.6127,0.6125,0.7718
2,Normalizer,3,0.5595,0.5595,0.5595,0.5595,0.7118
2,Normalizer,5,0.576,0.5763,0.576,0.576,0.733
2,Normalizer,7,0.5776,0.5784,0.5776,0.5777,0.7434
2,Normalizer,9,0.5694,0.5693,0.5694,0.5693,0.7384
2,Normalizer,11,0.5661,0.5659,0.5661,0.566,0.7353
3,NoScaler,3,0.6171,0.6175,0.6171,0.6172,0.7644
3,NoScaler,5,0.6341,0.6341,0.6341,0.6341,0.7822
3,NoScaler,7,0.6407,0.6409,0.6407,0.6406,0.7911
3,NoScaler,9,0.6429,0.6435,0.6429,0.6428,0.7923
3,NoScaler,11,0.6402,0.6402,0.6402,0.6399,0.79
3,StandardScaler,3,0.6111,0.6119,0.6111,0.6113,0.7585
3,StandardScaler,5,0.6242,0.6246,0.6242,0.6243,0.7786
3,StandardScaler,7,0.6303,0.6307,0.6303,0.6301,0.7883
3,StandardScaler,9,0.6352,0.6353,0.6352,0.6349,0.7911
3,StandardScaler,11,0.6319,0.6318,0.6319,0.6314,0.7894
3,MinMaxScaler,3,0.61,0.6105,0.61,0.6101,0.7592
3,MinMaxScaler,5,0.6237,0.6241,0.6237,0.6238,0.78
3,MinMaxScaler,7,0.6314,0.6318,0.6314,0.6312,0.7896
3,MinMaxScaler,9,0.6341,0.6341,0.6341,0.6338,0.7916
3,MinMaxScaler,11,0.6325,0.6323,0.6325,0.632,0.7902
3,RobustScaler,3,0.6111,0.6118,0.6111,0.6112,0.7585
3,RobustScaler,5,0.6259,0.6262,0.6259,0.626,0.7791
3,RobustScaler,7,0.6325,0.6329,0.6325,0.6323,0.7892
3,RobustScaler,9,0.6358,0.6358,0.6358,0.6354,0.7919
3,RobustScaler,11,0.6336,0.6334,0.6336,0.6331,0.7899
3,Normalizer,3,0.5579,0.5587,0.5579,0.5582,0.7137
3,Normalizer,5,0.5661,0.5666,0.5661,0.5663,0.7385
3,Normalizer,7,0.5765,0.5765,0.5765,0.5761,0.7472
3,Normalizer,9,0.5842,0.5832,0.5842,0.583,0.7516
3,Normalizer,11,0.5842,0.5836,0.5842,0.5835,0.751
4,NoScaler,3,0.6177,0.6174,0.6177,0.6173,0.7605
4,NoScaler,5,0.6319,0.6313,0.6319,0.6308,0.772
4,NoScaler,7,0.6204,0.6196,0.6204,0.6186,0.7707
4,NoScaler,9,0.6193,0.6187,0.6193,0.6171,0.7697
4,NoScaler,11,0.6226,0.6225,0.6226,0.6201,0.7692
4,StandardScaler,3,0.6144,0.6142,0.6144,0.6141,0.7607
4,StandardScaler,5,0.6347,0.6341,0.6347,0.6339,0.7739
4,StandardScaler,7,0.627,0.6261,0.627,0.6256,0.7728
4,StandardScaler,9,0.6237,0.6231,0.6237,0.6223,0.7744
4,StandardScaler,11,0.6259,0.6255,0.6259,0.6241,0.7736
4,MinMaxScaler,3,0.6138,0.6136,0.6138,0.6136,0.7599
4,MinMaxScaler,5,0.6358,0.6351,0.6358,0.635,0.7739
4,MinMaxScaler,7,0.6259,0.625,0.6259,0.6246,0.7721
4,MinMaxScaler,9,0.621,0.6203,0.621,0.6194,0.7736
4,MinMaxScaler,11,0.6248,0.6244,0.6248,0.6229,0.7733
4,RobustScaler,3,0.6144,0.6142,0.6144,0.6141,0.7617
4,RobustScaler,5,0.6358,0.6352,0.6358,0.635,0.7747
4,RobustScaler,7,0.627,0.6261,0.627,0.6256,0.7725
4,RobustScaler,9,0.6221,0.6213,0.6221,0.6206,0.7743
4,RobustScaler,11,0.6248,0.6243,0.6248,0.6229,0.7735
4,Normalizer,3,0.5557,0.5554,0.5557,0.5554,0.7107
4,Normalizer,5,0.5732,0.5732,0.5732,0.5726,0.7295
4,Normalizer,7,0.5716,0.571,0.5716,0.5707,0.7317
4,Normalizer,9,0.5743,0.5739,0.5743,0.573,0.7338
4,Normalizer,11,0.576,0.5758,0.576,0.5745,0.7349
5,NoScaler,3,0.6186,0.6169,0.6186,0.6174,0.7557
5,NoScaler,5,0.6317,0.6299,0.6317,0.6303,0.7727
5,NoScaler,7,0.6443,0.6425,0.6443,0.643,0.7811
5,NoScaler,9,0.6405,0.6389,0.6405,0.6394,0.7851
5,NoScaler,11,0.6411,0.6401,0.6411,0.6405,0.7863
5,StandardScaler,3,0.6092,0.6078,0.6092,0.6083,0.7475
5,StandardScaler,5,0.6268,0.6256,0.6268,0.626,0.7663
5,StandardScaler,7,0.64,0.6385,0.64,0.6389,0.7801
5,StandardScaler,9,0.6367,0.6357,0.6367,0.636,0.7839
5,StandardScaler,11,0.6361,0.6354,0.6361,0.6356,0.7867
5,MinMaxScaler,3,0.6098,0.6083,0.6098,0.6088,0.7495
5,MinMaxScaler,5,0.6273,0.6261,0.6273,0.6265,0.7668
5,MinMaxScaler,7,0.6411,0.6395,0.6411,0.64,0.7801
5,MinMaxScaler,9,0.6383,0.6373,0.6383,0.6376,0.7841
5,MinMaxScaler,11,0.6378,0.6369,0.6378,0.6372,0.7872
5,RobustScaler,3,0.6098,0.6083,0.6098,0.6088,0.7484
5,RobustScaler,5,0.6268,0.6256,0.6268,0.626,0.7667
5,RobustScaler,7,0.6394,0.6379,0.6394,0.6384,0.78
5,RobustScaler,9,0.6383,0.6374,0.6383,0.6377,0.7841
5,RobustScaler,11,0.6367,0.6359,0.6367,0.6362,0.7865
5,Normalizer,3,0.5703,0.5703,0.5703,0.5701,0.7178
5,Normalizer,5,0.5746,0.5747,0.5746,0.5745,0.7378
5,Normalizer,7,0.5906,0.5905,0.5906,0.5905,0.7468
5,Normalizer,9,0.5966,0.5966,0.5966,0.5965,0.7508
5,Normalizer,11,0.5895,0.5894,0.5895,0.5894,0.7546
